Store,Demand
FreshChoice Epsom,4.25
FreshChoice Flat Bush,6.0
FreshChoice Glen Eden,5.0
FreshChoice Half Moon Bay,5.0
FreshChoice Mangere Bridge,4.0
FreshChoice Otahuhu,5.25
FreshChoice Palomino,5.0
FreshChoice Papakura,5.25
FreshChoice Ranui,4.0
FreshChoice Titirangi,5.25
Metro Albert Street,5.0
Metro Halsey Street,5.0
Metro Herne Bay,5.0
SuperValue Avondale,4.25
Woolworths Airport,9.0
Woolworths Auckland City,8.25
Woolworths Auckland Victoria Street West,9.0
Woolworths Birkenhead,9.0
Woolworths Blockhouse Bay,9.0
Woolworths Botany Downs,9.0
Woolworths Browns Bay,9.0
Woolworths Glenfield,8.0
Woolworths Greenlane,9.0
Woolworths Greville Road,10.0
Woolworths Grey Lynn,10.0
Woolworths Hauraki Corner,8.25
Woolworths Henderson,10.0
Woolworths Highland Park,9.0
Woolworths Hobsonville,8.0
Woolworths Howick,10.0
Woolworths Lincoln Road,9.0
Woolworths Lynnmall,9.25
Woolworths Mairangi Bay,8.0
Woolworths Mangere East,8.0
Woolworths Mangere Mall,8.0
Woolworths Manukau,9.0
Woolworths Manukau Mall,9.0
Woolworths Manurewa,9.0
Woolworths Meadowbank,9.0
Woolworths Meadowlands,10.0
Woolworths Milford,8.25
Woolworths Mt Eden,9.0
Woolworths Mt Roskill,8.0
Woolworths Mt Wellington,9.0
Woolworths Newmarket,9.25
Woolworths Northcote,8.0
Woolworths Northwest,8.0
Woolworths Onehunga,9.0
Woolworths Pakuranga,9.0
Woolworths Papakura,8.5
Woolworths Papatoetoe,9.0
Woolworths Ponsonby,9.0
Woolworths Pt Chevalier,9.0
Woolworths Roselands,9.0
Woolworths St Johns,9.0
Woolworths St Lukes,9.25
Woolworths Sunnynook,9.0
Woolworths Takanini,9.0
Woolworths Takapuna,7.5
Woolworths Te Atatu North,9.0
Woolworths Te Atatu South,9.0
Woolworths Three Kings,8.25
Woolworths Waiata Shores,10.0
Woolworths Westgate,8.25
