Store,1
FreshChoice Epsom,0
FreshChoice Flat Bush,0
FreshChoice Glen Eden,0
FreshChoice Half Moon Bay,0
FreshChoice Mangere Bridge,0
FreshChoice Otahuhu,0
FreshChoice Palomino,0
FreshChoice Papakura,0
FreshChoice Ranui,0
FreshChoice Titirangi,0
Metro Albert Street,0
Metro Halsey Street,0
Metro Herne Bay,0
SuperValue Avondale,0
Woolworths Airport,6
Woolworths Auckland City,6
Woolworths Auckland Victoria Street West,5
Woolworths Birkenhead,6
Woolworths Blockhouse Bay,4
Woolworths Botany Downs,4
Woolworths Browns Bay,7
Woolworths Glenfield,6
Woolworths Greenlane,6
Woolworths Greville Road,6
Woolworths Grey Lynn,5
Woolworths Hauraki Corner,4
Woolworths Henderson,5
Woolworths Highland Park,4
Woolworths Hobsonville,5
Woolworths Howick,6
Woolworths Lincoln Road,5
Woolworths Lynnmall,4
Woolworths Mairangi Bay,5
Woolworths Mangere East,4
Woolworths Mangere Mall,6
Woolworths Manukau,4
Woolworths Manukau Mall,5
Woolworths Manurewa,6
Woolworths Meadowbank,5
Woolworths Meadowlands,6
Woolworths Milford,4
Woolworths Mt Eden,5
Woolworths Mt Roskill,4
Woolworths Mt Wellington,4
Woolworths Newmarket,5
Woolworths Northcote,4
Woolworths Northwest,4
Woolworths Onehunga,5
Woolworths Pakuranga,6
Woolworths Papakura,4
Woolworths Papatoetoe,5
Woolworths Ponsonby,6
Woolworths Pt Chevalier,6
Woolworths Roselands,4
Woolworths St Johns,5
Woolworths St Lukes,5
Woolworths Sunnynook,5
Woolworths Takanini,4
Woolworths Takapuna,5
Woolworths Te Atatu North,5
Woolworths Te Atatu South,4
Woolworths Three Kings,5
Woolworths Waiata Shores,4
Woolworths Westgate,4
