Store,Weekday Mean,Saturday Mean
FreshChoice Epsom,4.0,0.0
FreshChoice Flat Bush,4.65,0.0
FreshChoice Glen Eden,4.55,0.0
FreshChoice Half Moon Bay,4.5,0.0
FreshChoice Mangere Bridge,3.8,0.0
FreshChoice Otahuhu,4.9,0.0
FreshChoice Palomino,5.1,0.0
FreshChoice Papakura,4.8,0.0
FreshChoice Ranui,4.2,0.0
FreshChoice Titirangi,4.5,0.0
Metro Albert Street,4.35,0.0
Metro Halsey Street,4.6,0.0
Metro Herne Bay,4.3,0.0
SuperValue Avondale,3.85,0.0
Woolworths Airport,8.25,6.0
Woolworths Auckland City,7.4,6.0
Woolworths Auckland Victoria Street West,7.75,5.0
Woolworths Birkenhead,7.8,6.0
Woolworths Blockhouse Bay,8.05,4.5
Woolworths Botany Downs,7.95,4.25
Woolworths Browns Bay,8.15,7.25
Woolworths Glenfield,7.25,5.5
Woolworths Greenlane,7.65,5.5
Woolworths Greville Road,8.35,5.5
Woolworths Grey Lynn,8.8,4.75
Woolworths Hauraki Corner,8.15,4.25
Woolworths Henderson,8.8,4.75
Woolworths Highland Park,8.05,3.75
Woolworths Hobsonville,7.35,5.25
Woolworths Howick,9.2,5.75
Woolworths Lincoln Road,8.3,5.0
Woolworths Lynnmall,8.45,4.5
Woolworths Mairangi Bay,7.7,5.0
Woolworths Mangere East,7.5,4.0
Woolworths Mangere Mall,7.25,5.5
Woolworths Manukau,8.4,3.75
Woolworths Manukau Mall,7.7,5.25
Woolworths Manurewa,8.3,5.5
Woolworths Meadowbank,8.3,4.75
Woolworths Meadowlands,8.55,6.5
Woolworths Milford,7.6,4.25
Woolworths Mt Eden,8.25,5.25
Woolworths Mt Roskill,6.9,4.5
Woolworths Mt Wellington,8.35,4.25
Woolworths Newmarket,8.3,5.25
Woolworths Northcote,7.25,3.75
Woolworths Northwest,7.1,4.0
Woolworths Onehunga,8.15,5.0
Woolworths Pakuranga,8.4,5.75
Woolworths Papakura,7.4,4.0
Woolworths Papatoetoe,7.6,5.0
Woolworths Ponsonby,8.4,5.5
Woolworths Pt Chevalier,8.0,5.5
Woolworths Roselands,7.85,3.75
Woolworths St Johns,8.25,5.25
Woolworths St Lukes,8.6,5.0
Woolworths Sunnynook,7.15,5.25
Woolworths Takanini,7.9,4.25
Woolworths Takapuna,7.7,4.75
Woolworths Te Atatu North,8.8,4.75
Woolworths Te Atatu South,7.75,4.5
Woolworths Three Kings,7.8,4.75
Woolworths Waiata Shores,8.25,4.0
Woolworths Westgate,7.7,3.5
