Store,1
FreshChoice Epsom,4
FreshChoice Flat Bush,5
FreshChoice Glen Eden,5
FreshChoice Half Moon Bay,4
FreshChoice Mangere Bridge,4
FreshChoice Otahuhu,5
FreshChoice Palomino,5
FreshChoice Papakura,5
FreshChoice Ranui,4
FreshChoice Titirangi,4
Metro Albert Street,4
Metro Halsey Street,5
Metro Herne Bay,4
SuperValue Avondale,4
Woolworths Airport,8
Woolworths Auckland City,7
Woolworths Auckland Victoria Street West,8
Woolworths Birkenhead,8
Woolworths Blockhouse Bay,8
Woolworths Botany Downs,8
Woolworths Browns Bay,8
Woolworths Glenfield,7
Woolworths Greenlane,8
Woolworths Greville Road,8
Woolworths Grey Lynn,9
Woolworths Hauraki Corner,8
Woolworths Henderson,9
Woolworths Highland Park,8
Woolworths Hobsonville,7
Woolworths Howick,9
Woolworths Lincoln Road,8
Woolworths Lynnmall,8
Woolworths Mairangi Bay,8
Woolworths Mangere East,8
Woolworths Mangere Mall,7
Woolworths Manukau,8
Woolworths Manukau Mall,8
Woolworths Manurewa,8
Woolworths Meadowbank,8
Woolworths Meadowlands,9
Woolworths Milford,8
Woolworths Mt Eden,8
Woolworths Mt Roskill,7
Woolworths Mt Wellington,8
Woolworths Newmarket,8
Woolworths Northcote,7
Woolworths Northwest,7
Woolworths Onehunga,8
Woolworths Pakuranga,8
Woolworths Papakura,7
Woolworths Papatoetoe,8
Woolworths Ponsonby,8
Woolworths Pt Chevalier,8
Woolworths Roselands,8
Woolworths St Johns,8
Woolworths St Lukes,9
Woolworths Sunnynook,7
Woolworths Takanini,8
Woolworths Takapuna,8
Woolworths Te Atatu North,9
Woolworths Te Atatu South,8
Woolworths Three Kings,8
Woolworths Waiata Shores,8
Woolworths Westgate,8
