Store,Weekday Simulated Demand,Saturday Simulated Demand
FreshChoice Epsom,5.336811626054578,0.0
FreshChoice Epsom,3.1121966644061962,0.0
FreshChoice Epsom,4.107948478118065,0.0
FreshChoice Epsom,4.188237520315798,0.0
FreshChoice Epsom,2.697386391932685,0.0
FreshChoice Epsom,3.5899344210978894,0.0
FreshChoice Epsom,4.255426618586314,0.0
FreshChoice Epsom,3.653157300157372,0.0
FreshChoice Epsom,5.251820514756103,0.0
FreshChoice Epsom,3.564595554112021,0.0
FreshChoice Epsom,2.5345473746981013,0.0
FreshChoice Epsom,3.852083961982298,0.0
FreshChoice Epsom,5.150552468193764,0.0
FreshChoice Epsom,2.386076139644708,0.0
FreshChoice Epsom,5.685458068323312,0.0
FreshChoice Epsom,2.8190821904346777,0.0
FreshChoice Epsom,4.149908513727677,0.0
FreshChoice Epsom,3.933200560022047,0.0
FreshChoice Epsom,3.945782965270652,0.0
FreshChoice Epsom,4.722065082696971,0.0
FreshChoice Epsom,4.873513861273916,0.0
FreshChoice Epsom,1.1585207208999253,0.0
FreshChoice Epsom,4.164593264407928,0.0
FreshChoice Epsom,2.9231108886187163,0.0
FreshChoice Epsom,3.6982767784470814,0.0
FreshChoice Epsom,3.3281219110464506,0.0
FreshChoice Epsom,5.116171512574052,0.0
FreshChoice Epsom,6.516348216341935,0.0
FreshChoice Epsom,2.297625916785856,0.0
FreshChoice Epsom,4.138065603150172,0.0
FreshChoice Epsom,3.9642377755472853,0.0
FreshChoice Epsom,2.9965949934301213,0.0
FreshChoice Epsom,1.4628421630658917,0.0
FreshChoice Epsom,3.988290147589539,0.0
FreshChoice Epsom,3.792337898603775,0.0
FreshChoice Epsom,5.948947488994428,0.0
FreshChoice Epsom,3.0035933778437442,0.0
FreshChoice Epsom,3.028121167617445,0.0
FreshChoice Epsom,4.8877656685389415,0.0
FreshChoice Epsom,4.258994970414916,0.0
FreshChoice Epsom,3.094642801795137,0.0
FreshChoice Epsom,4.588389682729417,0.0
FreshChoice Epsom,3.8071155502294833,0.0
FreshChoice Epsom,6.103368196733294,0.0
FreshChoice Epsom,4.3128472083800045,0.0
FreshChoice Epsom,3.5390069783820923,0.0
FreshChoice Epsom,-0.5087578511673625,0.0
FreshChoice Epsom,4.825067632754862,0.0
FreshChoice Epsom,4.258348349954867,0.0
FreshChoice Epsom,4.077935433637997,0.0
FreshChoice Epsom,3.26148086512317,0.0
FreshChoice Epsom,3.6629506916470644,0.0
FreshChoice Epsom,2.3715438138027247,0.0
FreshChoice Epsom,4.320245561543919,0.0
FreshChoice Epsom,4.976495208022419,0.0
FreshChoice Epsom,2.050648062298424,0.0
FreshChoice Epsom,3.9554741467378878,0.0
FreshChoice Epsom,3.7120157494243777,0.0
FreshChoice Epsom,4.40804720544896,0.0
FreshChoice Epsom,4.1515956795058875,0.0
FreshChoice Epsom,5.8382669617433365,0.0
FreshChoice Epsom,2.774226228764176,0.0
FreshChoice Epsom,3.610159113675111,0.0
FreshChoice Epsom,5.316372460398266,0.0
FreshChoice Epsom,4.55016010375335,0.0
FreshChoice Epsom,3.2322727026220868,0.0
FreshChoice Epsom,4.040867723291385,0.0
FreshChoice Epsom,3.3133450207065187,0.0
FreshChoice Epsom,6.82116552369164,0.0
FreshChoice Epsom,4.804463828390009,0.0
FreshChoice Epsom,2.7577592102738384,0.0
FreshChoice Epsom,3.8578006060982526,0.0
FreshChoice Epsom,4.188426499081261,0.0
FreshChoice Epsom,2.495200244896907,0.0
FreshChoice Epsom,1.7577481973495113,0.0
FreshChoice Epsom,2.9831438154290484,0.0
FreshChoice Epsom,3.229861146536499,0.0
FreshChoice Epsom,5.025595382396024,0.0
FreshChoice Epsom,3.418147104197865,0.0
FreshChoice Epsom,4.31315303949514,0.0
FreshChoice Epsom,4.682341577715515,0.0
FreshChoice Epsom,3.9399368106766577,0.0
FreshChoice Epsom,5.020819383335515,0.0
FreshChoice Epsom,3.6659961210117133,0.0
FreshChoice Epsom,3.3240527816687058,0.0
FreshChoice Epsom,2.5430509938276904,0.0
FreshChoice Epsom,4.77033862535292,0.0
FreshChoice Epsom,3.498914173302455,0.0
FreshChoice Epsom,1.6571088120253257,0.0
FreshChoice Epsom,4.731178176203465,0.0
FreshChoice Epsom,4.5195937744747345,0.0
FreshChoice Epsom,2.56290314433955,0.0
FreshChoice Epsom,3.010030536954432,0.0
FreshChoice Epsom,5.5022297032157175,0.0
FreshChoice Epsom,5.915191312078383,0.0
FreshChoice Epsom,4.45414107041787,0.0
FreshChoice Epsom,5.622898404931589,0.0
FreshChoice Epsom,4.966260488915343,0.0
FreshChoice Epsom,3.6451644090062576,0.0
FreshChoice Epsom,5.291847253008426,0.0
FreshChoice Flat Bush,8.53083674775753,0.0
FreshChoice Flat Bush,4.9847263054119,0.0
FreshChoice Flat Bush,7.3817746427462465,0.0
FreshChoice Flat Bush,4.185416403618992,0.0
FreshChoice Flat Bush,6.727129974312394,0.0
FreshChoice Flat Bush,6.7199982219286785,0.0
FreshChoice Flat Bush,2.197076799458067,0.0
FreshChoice Flat Bush,2.972767164617438,0.0
FreshChoice Flat Bush,5.658749158746883,0.0
FreshChoice Flat Bush,4.007478682583648,0.0
FreshChoice Flat Bush,5.133231115518454,0.0
FreshChoice Flat Bush,6.65861858849121,0.0
FreshChoice Flat Bush,5.7272140307057615,0.0
FreshChoice Flat Bush,2.5639375148774435,0.0
FreshChoice Flat Bush,1.6719545970758674,0.0
FreshChoice Flat Bush,3.7041146042795705,0.0
FreshChoice Flat Bush,4.822256295953024,0.0
FreshChoice Flat Bush,5.4266805430932,0.0
FreshChoice Flat Bush,3.237054127264596,0.0
FreshChoice Flat Bush,6.298977262941236,0.0
FreshChoice Flat Bush,5.112214196880246,0.0
FreshChoice Flat Bush,2.545983053152273,0.0
FreshChoice Flat Bush,2.6690931587388462,0.0
FreshChoice Flat Bush,6.18040751501063,0.0
FreshChoice Flat Bush,3.456541859394834,0.0
FreshChoice Flat Bush,7.979634999899249,0.0
FreshChoice Flat Bush,4.657573746945367,0.0
FreshChoice Flat Bush,6.564865882405054,0.0
FreshChoice Flat Bush,2.2012136043653556,0.0
FreshChoice Flat Bush,5.310043671183011,0.0
FreshChoice Flat Bush,2.444256298467145,0.0
FreshChoice Flat Bush,2.459915522431604,0.0
FreshChoice Flat Bush,3.930598250000835,0.0
FreshChoice Flat Bush,6.277482529497505,0.0
FreshChoice Flat Bush,4.85386497321237,0.0
FreshChoice Flat Bush,6.273032420364984,0.0
FreshChoice Flat Bush,6.011518179066648,0.0
FreshChoice Flat Bush,9.02729827632241,0.0
FreshChoice Flat Bush,9.35749938039574,0.0
FreshChoice Flat Bush,5.633258130750953,0.0
FreshChoice Flat Bush,9.005024374887128,0.0
FreshChoice Flat Bush,5.14915709427798,0.0
FreshChoice Flat Bush,4.013946657931702,0.0
FreshChoice Flat Bush,5.84198626154084,0.0
FreshChoice Flat Bush,4.0099259936212315,0.0
FreshChoice Flat Bush,6.196664330603367,0.0
FreshChoice Flat Bush,7.88520689608216,0.0
FreshChoice Flat Bush,3.7841540746524776,0.0
FreshChoice Flat Bush,4.166473956336243,0.0
FreshChoice Flat Bush,3.3173138801527013,0.0
FreshChoice Flat Bush,6.510060395173298,0.0
FreshChoice Flat Bush,8.559535623664965,0.0
FreshChoice Flat Bush,7.388416387828987,0.0
FreshChoice Flat Bush,7.115805438506994,0.0
FreshChoice Flat Bush,7.77946621660616,0.0
FreshChoice Flat Bush,6.579611789002341,0.0
FreshChoice Flat Bush,4.025352034051172,0.0
FreshChoice Flat Bush,3.1046879180549096,0.0
FreshChoice Flat Bush,7.728308173027232,0.0
FreshChoice Flat Bush,6.5626731825553675,0.0
FreshChoice Flat Bush,6.018924472272773,0.0
FreshChoice Flat Bush,4.196813445046384,0.0
FreshChoice Flat Bush,7.220479700407615,0.0
FreshChoice Flat Bush,3.7062153518567618,0.0
FreshChoice Flat Bush,5.150119283403084,0.0
FreshChoice Flat Bush,3.0931512302617783,0.0
FreshChoice Flat Bush,7.031710121661325,0.0
FreshChoice Flat Bush,5.951115909843276,0.0
