region,routes
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Distribution Centre Auckland']"
0,"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Distribution Centre Auckland']"
0,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']"
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Distribution Centre Auckland']"
0,"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Distribution Centre Auckland']"
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Auckland Victoria Street West', 'Woolworths Greenlane', 'Woolworths Mt Wellington', 'Distribution Centre Auckland']"
0,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Distribution Centre Auckland']"
1,"['Distribution Centre Auckland', 'Woolworths Papakura', 'Woolworths Roselands', 'Woolworths Takanini', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']"
2,"['Distribution Centre Auckland', 'Woolworths Howick', 'Distribution Centre Auckland']"
2,"['Distribution Centre Auckland', 'Woolworths Highland Park', 'Woolworths Meadowlands', 'Woolworths Botany Downs', 'Woolworths Pakuranga', 'Distribution Centre Auckland']"
2,"['Distribution Centre Auckland', 'Woolworths Meadowbank', 'Distribution Centre Auckland']"
2,"['Distribution Centre Auckland', 'Woolworths St Johns', 'Distribution Centre Auckland']"
3,"['Distribution Centre Auckland', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']"
3,"['Distribution Centre Auckland', 'Woolworths Mangere East', 'Distribution Centre Auckland']"
3,"['Distribution Centre Auckland', 'Woolworths Papatoetoe', 'Woolworths Manukau', 'Woolworths Manukau Mall', 'Woolworths Manurewa', 'Distribution Centre Auckland']"
3,"['Distribution Centre Auckland', 'Woolworths Airport', 'Distribution Centre Auckland']"
3,"['Distribution Centre Auckland', 'Woolworths Onehunga', 'Distribution Centre Auckland']"
4,"['Distribution Centre Auckland', 'Woolworths Te Atatu South', 'Woolworths Northwest', 'Woolworths Westgate', 'Woolworths Te Atatu North', 'Distribution Centre Auckland']"
4,"['Distribution Centre Auckland', 'Woolworths Lincoln Road', 'Distribution Centre Auckland']"
4,"['Distribution Centre Auckland', 'Woolworths Hobsonville', 'Distribution Centre Auckland']"
4,"['Distribution Centre Auckland', 'Woolworths Henderson', 'Distribution Centre Auckland']"
5,"['Distribution Centre Auckland', 'Woolworths Blockhouse Bay', 'Woolworths Lynnmall', 'Woolworths Mt Roskill', 'Woolworths Three Kings', 'Distribution Centre Auckland']"
6,"['Distribution Centre Auckland', 'Woolworths Glenfield', 'Distribution Centre Auckland']"
6,"['Distribution Centre Auckland', 'Woolworths Northcote', 'Woolworths Takapuna', 'Woolworths Milford', 'Woolworths Hauraki Corner', 'Distribution Centre Auckland']"
6,"['Distribution Centre Auckland', 'Woolworths Birkenhead', 'Distribution Centre Auckland']"
7,"['Distribution Centre Auckland', 'Woolworths Sunnynook', 'Distribution Centre Auckland']"
7,"['Distribution Centre Auckland', 'Woolworths Greville Road', 'Woolworths Browns Bay', 'Woolworths Mairangi Bay', 'Distribution Centre Auckland']"
