"truck_id","shift","shift_time","route","duration_sec","duration_min","demand_pallets","region","overtime_sec","overtime_cost"
"1","1","8:00 AM","['Distribution Centre Auckland', 'Woolworths Northcote', 'Woolworths Takapuna', 'Metro Herne Bay', 'Distribution Centre Auckland']","17124.67","285.4","19.25","6","2724.6699999999983","245.98"
"1","2","2:00 PM","['Distribution Centre Auckland', 'Woolworths Greville Road', 'Woolworths Browns Bay', 'Distribution Centre Auckland']","16190.02","269.8","16.5","7","1790.0200000000004","161.6"
"2","1","8:00 AM","['Distribution Centre Auckland', 'Woolworths Hobsonville', 'Woolworths Henderson', 'Distribution Centre Auckland']","16108.97","268.5","16.15","4","1708.9699999999993","154.28"
"2","2","2:00 PM","['Distribution Centre Auckland', 'FreshChoice Titirangi', 'Woolworths Lynnmall', 'Woolworths Mt Roskill', 'Distribution Centre Auckland']","16077.52","268.0","19.85","5","1677.5200000000004","151.44"
"3","1","8:00 AM","['Distribution Centre Auckland', 'Woolworths Te Atatu South', 'FreshChoice Palomino', 'FreshChoice Ranui', 'Distribution Centre Auckland']","15939.57","265.7","17.05","4","1539.5699999999997","138.99"
"3","2","2:00 PM","['Distribution Centre Auckland', 'Woolworths Birkenhead', 'Metro Halsey Street', 'Metro Albert Street', 'Distribution Centre Auckland']","15339.75","255.7","16.75","6","939.75","84.84"
"4","1","8:00 AM","['Distribution Centre Auckland', 'Woolworths Northwest', 'Woolworths Te Atatu North', 'Distribution Centre Auckland']","15280.46","254.7","15.9","4","880.4599999999991","79.49"
"4","2","2:00 PM","['Distribution Centre Auckland', 'Woolworths Blockhouse Bay', 'SuperValue Avondale', 'Woolworths Three Kings', 'Distribution Centre Auckland']","15197.07","253.3","19.700000000000003","5","797.0699999999997","71.96"
"5","1","8:00 AM","['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Greenlane', 'FreshChoice Epsom', 'Distribution Centre Auckland']","15124.76","252.1","20.0","0","724.7600000000002","65.43"
"5","2","2:00 PM","['Distribution Centre Auckland', 'Woolworths Milford', 'Woolworths Hauraki Corner', 'Distribution Centre Auckland']","15057.91","251.0","15.75","6","657.9099999999999","59.39"
