region,routes,total_duration,total_demand
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Distribution Centre Auckland']",4597.57,4.0
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",15466.51,19.4
0,"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Woolworths Ponsonby', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16376.8,19.8
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",15466.51,19.4
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Auckland City', 'Distribution Centre Auckland']",15374.86,19.05
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Woolworths Grey Lynn', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16059.810000000001,17.35
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",15532.58,19.65
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Newmarket', 'Distribution Centre Auckland']",15054.720000000001,19.950000000000003
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths St Lukes', 'Distribution Centre Auckland']",16219.05,20.0
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Greenlane', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15124.76,20.0
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",15441.369999999999,19.9
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Distribution Centre Auckland']",14668.240000000002,16.200000000000003
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",15466.51,19.4
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Distribution Centre Auckland']",7058.05,7.65
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13407.91,16.05
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",15466.51,19.4
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Auckland City', 'Distribution Centre Auckland']",15374.86,19.05
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13915.390000000001,16.450000000000003
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",15532.58,19.65
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Newmarket', 'Distribution Centre Auckland']",15054.720000000001,19.950000000000003
0,"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13053.32,16.25
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Greenlane', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15124.76,20.0
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",15441.369999999999,19.9
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",14751.41,16.2
0,"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Woolworths Ponsonby', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16376.8,19.8
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13407.91,16.05
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",8610.86,8.4
0,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13655.09,16.15
0,"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Woolworths Ponsonby', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16376.8,19.8
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",14195.150000000001,17.200000000000003
0,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13560.64,16.4
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13692.430000000002,16.700000000000003
