region,routes,total_duration,total_demand
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Distribution Centre Auckland']",4597.57,4.0
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Distribution Centre Auckland']",7058.05,7.65
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13407.91,16.05
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13915.390000000001,16.450000000000003
0,"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13053.32,16.25
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13407.91,16.05
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",8610.86,8.4
0,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13655.09,16.15
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",14195.150000000001,17.200000000000003
0,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13560.64,16.4
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13692.430000000002,16.700000000000003
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13848.02,17.0
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",14084.93,16.75
0,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13742.66,16.65
0,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13655.09,16.15
0,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",8165.22,7.75
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",14170.27,16.55
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",13246.79,16.05
0,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13674.220000000001,16.35
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",13639.29,16.1
0,"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Distribution Centre Auckland']",8073.57,7.4
0,"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",14243.680000000002,16.200000000000003
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13915.390000000001,16.450000000000003
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",14195.150000000001,17.200000000000003
