region,routes,total_duration,total_demand
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Distribution Centre Auckland']",4597.57,4.0
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",15466.51,19.4
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Ponsonby', 'Woolworths Auckland City', 'Distribution Centre Auckland']",16569.92,19.8
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland Victoria Street West', 'Woolworths Greenlane', 'Distribution Centre Auckland']",15564.1,19.4
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths Greenlane', 'Distribution Centre Auckland']",15472.44,19.05
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Grey Lynn', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",16088.65,17.35
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Pt Chevalier', 'Woolworths Greenlane', 'Distribution Centre Auckland']",16151.88,19.65
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Newmarket', 'Woolworths Greenlane', 'Distribution Centre Auckland']",15204.28,19.950000000000003
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths St Lukes', 'Woolworths Auckland City', 'Distribution Centre Auckland']",16630.24,20.0
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Mt Wellington', 'Woolworths Greenlane', 'Distribution Centre Auckland']",15816.91,20.0
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Mt Eden', 'Woolworths Greenlane', 'Distribution Centre Auckland']",15563.37,19.9
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'FreshChoice Glen Eden', 'Woolworths Greenlane', 'Distribution Centre Auckland']",15702.78,16.200000000000003
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'FreshChoice Epsom', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",15798.74,19.4
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Distribution Centre Auckland']",7058.05,7.65
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13438.64,16.05
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Woolworths Auckland Victoria Street West', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15680.92,19.4
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Woolworths Auckland City', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15589.26,19.05
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",13996.4,16.450000000000003
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Woolworths Pt Chevalier', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16268.7,19.65
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Woolworths Newmarket', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15264.05,19.950000000000003
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13301.04,16.25
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Woolworths Mt Wellington', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15933.73,20.0
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'Woolworths Mt Eden', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15695.09,19.9
0,"['Distribution Centre Auckland', 'Woolworths Greenlane', 'FreshChoice Glen Eden', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15663.95,16.2
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Distribution Centre Auckland']",17333.75,19.8
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13407.91,16.05
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",8610.86,8.4
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",13717.65,16.15
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Auckland City', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16677.43,19.8
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",14245.43,17.200000000000003
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",13651.23,16.4
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths Newmarket', 'Distribution Centre Auckland']",13729.68,16.700000000000003
