Store,Weekday Mean,Weekday SD,Saturday Mean,Saturday SD
FreshChoice Epsom,4.0,1.2565617248750864,0.0,0.0
FreshChoice Flat Bush,4.65,1.899445902583726,0.0,0.0
FreshChoice Glen Eden,4.55,1.932410548076104,0.0,0.0
FreshChoice Half Moon Bay,4.5,1.3178930553209385,0.0,0.0
FreshChoice Mangere Bridge,3.8,1.3611140947574412,0.0,0.0
FreshChoice Otahuhu,4.9,1.5183093090324964,0.0,0.0
FreshChoice Palomino,5.1,0.7880689256524123,0.0,0.0
FreshChoice Papakura,4.8,1.8524521444205841,0.0,0.0
FreshChoice Ranui,4.2,1.151657843924872,0.0,0.0
FreshChoice Titirangi,4.5,2.039091645032686,0.0,0.0
Metro Albert Street,4.35,1.2258187382102492,0.0,0.0
Metro Halsey Street,4.6,1.429022485182754,0.0,0.0
Metro Herne Bay,4.3,1.6254554017744984,0.0,0.0
SuperValue Avondale,3.85,1.0894228312566052,0.0,0.0
Woolworths Airport,8.25,3.306691779757495,6.0,1.1547005383792515
Woolworths Auckland City,7.4,2.521486612465374,6.0,1.4142135623730951
Woolworths Auckland Victoria Street West,7.75,1.996707816698066,5.0,1.4142135623730951
Woolworths Birkenhead,7.8,2.041671142136162,6.0,1.8257418583505538
Woolworths Blockhouse Bay,8.05,2.163695668842645,4.5,1.2909944487358056
Woolworths Botany Downs,7.95,2.038446260732605,4.25,1.2583057392117916
Woolworths Browns Bay,8.15,1.9540780569443943,7.25,0.5
Woolworths Glenfield,7.25,1.9159991209755154,5.5,1.7320508075688772
Woolworths Greenlane,7.65,2.412140346794021,5.5,2.0816659994661326
Woolworths Greville Road,8.35,2.4338619949632143,5.5,1.7320508075688772
Woolworths Grey Lynn,8.8,2.261811104775156,4.75,2.217355782608345
Woolworths Hauraki Corner,8.15,2.207046132634963,4.25,1.707825127659933
Woolworths Henderson,8.8,2.7644357947251907,4.75,2.362907813126304
Woolworths Highland Park,8.05,1.7910596686995395,3.75,0.9574271077563381
Woolworths Hobsonville,7.35,1.6944180805158293,5.25,1.2583057392117916
Woolworths Howick,9.2,1.8806493839265088,5.75,1.707825127659933
Woolworths Lincoln Road,8.3,2.202868942753374,5.0,1.4142135623730951
Woolworths Lynnmall,8.45,1.9049796241485244,4.5,1.9148542155126762
Woolworths Mairangi Bay,7.7,2.430074722697789,5.0,0.816496580927726
Woolworths Mangere East,7.5,1.8496087779795347,4.0,2.449489742783178
Woolworths Mangere Mall,7.25,2.2213082915965963,5.5,0.5773502691896257
Woolworths Manukau,8.4,2.087557121815378,3.75,1.5
Woolworths Manukau Mall,7.7,2.556724878680371,5.25,0.9574271077563381
Woolworths Manurewa,8.3,2.202868942753374,5.5,1.7320508075688772
Woolworths Meadowbank,8.3,2.5360557855395096,4.75,1.707825127659933
Woolworths Meadowlands,8.55,2.910507280798134,6.5,1.0
Woolworths Milford,7.6,1.9841477024816372,4.25,0.5
Woolworths Mt Eden,8.25,1.860248992954834,5.25,0.5
Woolworths Mt Roskill,6.9,2.1001253095445223,4.5,1.0
Woolworths Mt Wellington,8.35,2.1343062474478063,4.25,1.2583057392117916
Woolworths Newmarket,8.3,2.273416163537063,5.25,1.707825127659933
Woolworths Northcote,7.25,2.3591925469711477,3.75,2.0615528128088303
Woolworths Northwest,7.1,2.0235456115702615,4.0,1.8257418583505538
Woolworths Onehunga,8.15,1.954078056944394,5.0,1.8257418583505538
Woolworths Pakuranga,8.4,2.7414940221864814,5.75,2.362907813126304
Woolworths Papakura,7.4,2.5422741580594415,4.0,2.309401076758503
Woolworths Papatoetoe,7.6,2.280350850198276,5.0,1.632993161855452
Woolworths Ponsonby,8.4,1.7591864148251215,5.5,0.5773502691896257
Woolworths Pt Chevalier,8.0,2.772040859423935,5.5,1.7320508075688772
Woolworths Roselands,7.85,2.084403234046921,3.75,1.5
Woolworths St Johns,8.25,1.9701723141310308,5.25,1.2583057392117916
Woolworths St Lukes,8.6,2.280350850198276,5.0,1.8257418583505538
Woolworths Sunnynook,7.15,2.4767338424456895,5.25,2.217355782608345
Woolworths Takanini,7.9,1.970840055995359,4.25,1.8929694486000912
Woolworths Takapuna,7.7,2.8488224714229227,4.75,1.5
Woolworths Te Atatu North,8.8,1.6091841672756186,4.75,1.5
Woolworths Te Atatu South,7.75,2.593006789525688,4.5,3.1091263510296048
Woolworths Three Kings,7.8,1.6733200530681511,4.75,2.6299556396765835
Woolworths Waiata Shores,8.25,2.7313964040009777,4.0,1.1547005383792515
Woolworths Westgate,7.7,2.02874085917453,3.5,1.2909944487358056
