region,day,total_trucks,total_routes,total_overworked,total_double_shift,total_cost,cost_overworked,total_ww_cost
0,1,5,5,1,0,4210.562293823597,163.2163674549701,4210.562293823597
1,1,2,1,0,0,1203.6627423948757,0.0,1203.6627423948757
2,1,3,4,0,1,3024.0879769837766,0.0,3024.0879769837766
3,1,4,4,0,0,2875.0149346963153,0.0,2875.0149346963153
4,1,3,2,2,0,2791.749755353748,175.31139918936427,2791.749755353748
5,1,2,1,0,0,1360.9916817943035,0.0,1360.9916817943035
6,1,3,3,1,0,2733.6040832884714,143.82726235021366,2733.6040832884714
7,1,2,2,1,0,2319.5819943021397,224.31731215851326,2319.5819943021397
0,2,5,7,1,2,4507.4911485848415,82.38764702102905,4507.4911485848415
1,2,2,1,0,0,1197.526026358051,0.0,1197.526026358051
2,2,3,3,0,0,2754.5513419220515,0.0,2754.5513419220515
3,2,4,5,1,1,3010.737194478446,14.180174418655598,3010.737194478446
4,2,3,3,2,0,3131.654979727141,60.53424300817942,3131.654979727141
5,2,2,2,0,0,1516.1787276077275,0.0,1516.1787276077275
6,2,3,3,1,0,2504.113992114069,73.14062757789432,2504.113992114069
7,2,2,2,1,0,2194.5819943021397,224.31731215851326,2194.5819943021397
0,3,5,6,1,1,4182.218433622334,184.76522333716866,4182.218433622334
1,3,2,1,0,0,1245.3294090615425,0.0,1245.3294090615425
2,3,3,3,1,0,2442.0846055997386,36.160286624045604,2442.0846055997386
3,3,4,3,1,0,2994.923756975433,75.82755396540372,2994.923756975433
4,3,3,4,0,1,3074.75805292772,0.0,3074.75805292772
5,3,2,2,0,0,1516.1787276077275,0.0,1516.1787276077275
6,3,3,2,1,0,2010.576306311235,126.91710090175381,2010.576306311235
7,3,2,2,1,0,2057.0819943021397,170.15064549184643,2057.0819943021397
0,4,5,5,2,0,4292.739772358324,185.04548973458668,4292.739772358324
1,4,2,1,1,0,1412.307227213795,1.3483231042059995,1412.307227213795
2,4,3,4,0,1,3114.4042520477497,0.0,3114.4042520477497
3,4,4,4,0,0,2762.343634563418,0.0,2762.343634563418
4,4,3,3,0,0,2273.6529855182234,0.0,2273.6529855182234
5,4,2,2,0,0,1516.1787276077275,0.0,1516.1787276077275
6,4,3,3,1,0,2428.5234696592547,51.96415917638015,2428.5234696592547
7,4,2,2,1,0,2339.161685837684,165.84910226653247,2339.161685837684
0,5,5,6,0,1,3905.324054270809,0.0,3905.324054270809
1,5,2,1,0,0,1370.3294090615425,0.0,1370.3294090615425
2,5,3,4,0,1,2982.4213103171096,0.0,2982.4213103171096
3,5,4,5,0,1,2887.7763914017514,0.0,2887.7763914017514
4,5,3,3,0,0,2440.31965218489,0.0,2440.31965218489
5,5,2,2,0,0,1641.1787276077275,0.0,1641.1787276077275
6,5,3,2,0,0,2304.2295429437418,0.0,2304.2295429437418
7,5,2,2,1,0,2086.248660968806,115.98397882517975,2086.248660968806
0,6,5,5,1,0,4125.308740352588,113.85247521812634,4125.308740352588
1,6,2,1,0,0,1078.6627423948757,0.0,1078.6627423948757
2,6,3,2,2,0,2874.3713698045385,257.9330136401548,2874.3713698045385
3,6,4,5,1,1,3057.226018954552,115.1774050989803,3057.226018954552
4,6,3,3,1,0,2629.452234874491,0.776567787854876,2629.452234874491
5,6,2,1,0,0,1194.3250151276368,0.0,1194.3250151276368
6,6,3,3,1,0,2441.0234696592543,106.13082584304682,2441.0234696592543
7,6,2,2,1,0,2241.289286596545,131.01193667874168,2241.289286596545
0,7,5,6,1,1,3939.8614593721704,84.62503090746625,3939.8614593721704
1,7,2,1,0,0,1120.3294090615423,0.0,1120.3294090615423
2,7,3,3,0,0,2484.9182964830866,0.0,2484.9182964830866
3,7,4,4,0,0,3206.1655616670428,0.0,3206.1655616670428
4,7,3,4,1,1,2989.153313002973,85.2041580885972,2989.153313002973
5,7,2,2,0,0,1516.1787276077275,0.0,1516.1787276077275
6,7,3,3,1,0,2654.113992114069,181.47396091122766,2654.113992114069
7,7,2,1,1,0,1623.428085930286,212.46918182069697,1623.428085930286
0,8,5,7,1,2,4382.4911485848415,82.38764702102905,4382.4911485848415
1,8,2,2,0,0,1723.137695513557,0.0,1723.137695513557
2,8,3,3,1,0,3010.8070115167106,24.24684097023856,3010.8070115167106
3,8,4,4,0,0,2534.861780202624,0.0,2534.861780202624
4,8,3,3,0,0,2565.31965218489,0.0,2565.31965218489
5,8,2,1,0,0,1152.6583484609703,0.0,1152.6583484609703
6,8,3,2,0,0,2387.5628762770752,0.0,2387.5628762770752
7,8,2,1,1,0,1569.2614192636192,158.30251515403032,1569.2614192636192
0,9,5,7,1,2,4337.095338903783,39.04928385811036,4337.095338903783
1,9,2,1,0,0,1328.6627423948757,0.0,1328.6627423948757
2,9,3,4,0,1,2940.7546436504426,0.0,2940.7546436504426
3,9,4,4,1,0,2783.723620461277,81.91923564174544,2783.723620461277
4,9,3,4,0,1,2991.424719594387,0.0,2991.424719594387
5,9,2,1,0,0,1146.3090330002333,0.0,1146.3090330002333
6,9,3,2,1,0,1998.076306311235,72.75043423508714,1998.076306311235
7,9,2,2,1,0,2295.455953263212,185.1786033454085,2295.455953263212
0,10,5,7,1,2,4588.21237275492,114.57104310136441,4588.21237275492
1,10,2,2,0,0,1681.4710288468905,0.0,1681.4710288468905
2,10,3,4,0,1,3065.7546436504426,0.0,3065.7546436504426
3,10,4,4,0,0,2779.624108413356,0.0,2779.624108413356
4,10,3,3,1,0,2357.5568142170105,2.472146583633705,2357.5568142170105
5,10,2,1,0,0,1319.3250151276368,0.0,1319.3250151276368
6,10,3,3,0,0,2541.5317406185513,0.0,2541.5317406185513
7,10,2,2,1,0,2157.0819943021393,61.8173121585131,2157.0819943021393
0,11,5,6,1,1,3619.0281260388365,138.7916975741329,3619.0281260388365
1,11,2,1,0,0,1009.1053360856226,0.0,1009.1053360856226
2,11,3,4,1,1,3297.99633289596,54.26473821588344,3297.99633289596
3,11,4,5,0,1,3048.0285836066323,0.0,3048.0285836066323
4,11,3,3,1,0,2691.9151631975483,71.9299391975883,2691.9151631975483
5,11,2,2,0,0,1599.512060941061,0.0,1599.512060941061
6,11,3,3,1,0,2487.4473254474024,181.47396091122766,2487.4473254474024
7,11,2,1,1,0,1472.776216268102,61.8173121585131,1472.776216268102
0,12,5,7,1,2,4174.157815251508,82.38764702102905,4174.157815251508
1,12,2,1,0,0,1120.3294090615423,0.0,1120.3294090615423
2,12,3,3,1,0,3052.473678183377,24.24684097023856,3052.473678183377
3,12,4,4,1,0,2512.426947594481,0.36102313460686575,2512.426947594481
4,12,3,2,1,0,2696.139398185615,103.69819998862033,2696.139398185615
5,12,2,1,0,0,1194.3250151276368,0.0,1194.3250151276368
6,12,3,3,1,0,2349.9473254474024,127.30729424456099,2349.9473254474024
7,12,2,2,0,0,1976.1497940604313,0.0,1976.1497940604313
0,13,5,5,1,0,3938.0777785656637,86.46052906285536,3938.0777785656637
1,13,2,2,0,0,1639.804362180224,0.0,1639.804362180224
2,13,3,4,0,1,3159.5129649339697,0.0,3159.5129649339697
3,13,4,5,0,1,3012.101961333432,0.0,3012.101961333432
4,13,3,3,1,0,2767.3375458283413,18.22688861924275,2767.3375458283413
5,13,2,1,0,0,1360.9916817943035,0.0,1360.9916817943035
6,13,3,2,1,0,2081.7998329873753,73.14062757789432,2081.7998329873753
7,13,2,1,1,0,1623.428085930286,212.46918182069697,1623.428085930286
0,14,5,7,0,2,4626.760724236326,0.0,4626.760724236326
1,14,2,1,0,0,1328.6627423948757,0.0,1328.6627423948757
2,14,3,5,1,2,3488.5115139614736,87.24413960916085,3488.5115139614736
3,14,4,5,0,1,2846.1097247350854,0.0,2846.1097247350854
4,14,3,3,1,0,2767.096226402309,55.61800024646952,2767.096226402309
5,14,2,2,0,0,1516.1787276077275,0.0,1516.1787276077275
6,14,3,3,1,0,2474.9473254474024,127.30729424456099,2474.9473254474024
7,14,2,2,1,0,2086.248660968806,115.98397882517975,2086.248660968806
0,15,5,7,1,2,4491.374070735169,108.15866197968663,4491.374070735169
1,15,2,1,0,0,1120.3294090615423,0.0,1120.3294090615423
2,15,3,4,1,1,2900.2017216715976,56.80019894472041,2900.2017216715976
3,15,4,5,1,1,2949.6060129759976,174.22406578709246,2949.6060129759976
4,15,3,3,1,0,2524.2234808836774,2.472146583633705,2524.2234808836774
5,15,2,1,0,0,1319.3250151276368,0.0,1319.3250151276368
6,15,3,2,1,0,1985.576306311235,18.583767568420477,1985.576306311235
7,15,2,2,1,0,2223.7486609688062,170.15064549184643,2223.7486609688062
0,16,5,6,0,1,4333.570259097034,0.0,4333.570259097034
1,16,2,1,0,0,1328.6627423948757,0.0,1328.6627423948757
2,16,3,4,1,1,2891.4278507929876,72.18764904105501,2891.4278507929876
3,16,4,5,1,1,3091.272679642664,65.89073245375913,3091.272679642664
4,16,3,4,0,1,3116.4247195943867,0.0,3116.4247195943867
5,16,2,2,0,0,1599.512060941061,0.0,1599.512060941061
6,16,3,2,1,0,1927.6331663207088,127.30729424456099,1927.6331663207088
7,16,2,1,1,0,1569.2614192636192,158.30251515403032,1569.2614192636192
0,17,5,7,1,2,4329.477878007909,87.85333937282144,4329.477878007909
1,17,2,1,0,0,1072.526026358051,0.0,1072.526026358051
2,17,3,4,1,1,3066.8683883382646,56.80019894472041,3066.8683883382646
3,17,4,5,0,1,2804.4430580684184,0.0,2804.4430580684184
4,17,3,4,0,1,3052.8241483158604,0.0,3052.8241483158604
5,17,2,1,0,0,1152.6583484609703,0.0,1152.6583484609703
6,17,3,2,0,0,2049.7115303553132,0.0,2049.7115303553132
7,17,2,2,1,0,2111.2486609688062,224.31731215851326,2111.2486609688062
0,18,5,7,1,2,4550.311211341241,142.0200060394881,4550.311211341241
1,18,2,1,0,0,1370.3294090615425,0.0,1370.3294090615425
2,18,3,5,1,2,3559.3448472948076,33.0774729424942,3559.3448472948076
3,18,4,4,1,0,2745.7602809278146,108.6943564679402,2745.7602809278146
4,18,3,3,1,0,2529.028665581415,48.94399794803818,2529.028665581415
5,18,2,1,0,0,979.6423663335665,0.0,979.6423663335665
6,18,3,2,1,0,2093.9096396445684,126.91710090175381,2093.9096396445684
7,18,2,2,1,0,2086.248660968806,115.98397882517975,2086.248660968806
0,19,5,7,1,2,4257.4911485848415,82.38764702102905,4257.4911485848415
1,19,2,1,0,0,1245.3294090615425,0.0,1245.3294090615425
2,19,3,3,1,0,2609.1454381727845,62.13089407182027,2609.1454381727845
3,19,4,5,1,1,3050.118124668639,26.431660349786778,3050.118124668639
4,19,3,3,1,0,2634.1372558588378,51.71081267649382,2634.1372558588378
5,19,2,1,0,0,1069.3250151276368,0.0,1069.3250151276368
6,19,3,3,1,0,2591.0234696592543,214.46415917637998,2591.0234696592543
7,19,2,2,1,0,2127.9153276354727,115.98397882517975,2127.9153276354727
0,20,5,7,1,2,4174.1578152515085,82.38764702102905,4174.1578152515085
1,20,2,1,0,0,1245.3294090615425,0.0,1245.3294090615425
2,20,3,2,1,0,2670.902293769231,68.28343123755428,2670.902293769231
3,20,4,5,1,1,2927.4038611451124,14.180174418655598,2927.4038611451124
4,20,3,3,1,0,2837.7855682078243,0.776567787854876,2837.7855682078243
5,20,2,1,0,0,1110.9916817943035,0.0,1110.9916817943035
6,20,3,3,1,0,2578.5234696592543,160.29749250971346,2578.5234696592543
7,20,2,2,1,0,2169.5819943021397,115.98397882517975,2169.5819943021397
0,21,5,7,1,2,4421.545706088254,114.57104310136441,4421.545706088254
1,21,2,1,0,0,1120.3294090615423,0.0,1120.3294090615423
2,21,3,3,1,0,2400.417938933072,36.160286624045604,2400.417938933072
3,21,4,4,1,0,2769.3315231610213,89.26011942295997,2769.3315231610213
4,21,3,2,0,0,2013.6707040777242,0.0,2013.6707040777242
5,21,2,1,0,0,955.6802747436373,0.0,955.6802747436373
6,21,3,2,1,0,2663.8116060341254,235.5245179968254,2663.8116060341254
7,21,2,2,1,0,2032.0819943021393,61.8173121585131,2032.0819943021393
0,22,5,6,1,1,4123.60733959877,43.11645864338508,4123.60733959877
1,22,2,1,0,0,1245.3294090615425,0.0,1245.3294090615425
2,22,3,4,0,1,2940.7546436504426,0.0,2940.7546436504426
3,22,4,5,0,1,2929.4430580684184,0.0,2929.4430580684184
4,22,3,1,1,0,1682.6761962379687,66.23784007358516,1682.6761962379687
5,22,2,1,0,0,1152.6583484609703,0.0,1152.6583484609703
6,22,3,2,0,0,2386.7185611317145,0.0,2386.7185611317145
7,22,2,2,1,0,2223.7486609688062,170.15064549184643,2223.7486609688062
0,23,5,5,1,0,4056.1265342043034,142.40065421150356,4056.1265342043034
1,23,2,1,0,0,1204.813122841278,0.0,1204.813122841278
2,23,3,3,2,0,3125.053303127119,136.96573085316257,3125.053303127119
3,23,4,4,0,0,2729.417769937125,0.0,2729.417769937125
4,23,3,4,0,1,3033.091386261054,0.0,3033.091386261054
5,23,2,1,0,0,1277.6583484609703,0.0,1277.6583484609703
6,23,3,3,1,0,2449.9473254474024,18.97396091122765,2449.9473254474024
7,23,2,2,1,0,2194.5819943021397,224.31731215851326,2194.5819943021397
0,24,5,7,1,2,4833.621965933254,158.14091414022874,4833.621965933254
1,24,2,1,0,0,1203.6627423948757,0.0,1203.6627423948757
2,24,3,4,1,1,3012.701721671598,2.6335322780537354,3012.701721671598
3,24,4,5,1,1,3091.272679642664,65.89073245375913,3091.272679642664
4,24,3,2,1,0,2144.9846133713936,32.19720998576578,2144.9846133713936
5,24,2,1,0,0,937.9756996668998,0.0,937.9756996668998
6,24,3,3,1,0,2578.5234696592543,160.29749250971346,2578.5234696592543
7,24,2,1,1,0,1569.2614192636192,158.30251515403032,1569.2614192636192
0,25,5,6,1,1,3889.3983708659334,125.13286431870978,3889.3983708659334
1,25,2,1,0,0,1245.3294090615425,0.0,1245.3294090615425
2,25,3,4,0,1,3024.087976983776,0.0,3024.087976983776
3,25,4,5,0,1,2929.443058068418,0.0,2929.443058068418
4,25,3,3,0,0,2481.986318851557,0.0,2481.986318851557
5,25,2,1,0,0,1319.3250151276368,0.0,1319.3250151276368
6,25,3,2,1,0,2010.576306311235,126.91710090175381,2010.576306311235
7,25,2,2,1,0,2182.0819943021397,170.15064549184643,2182.0819943021397
0,26,5,4,1,0,4245.265335480904,20.10870686058672,4245.265335480904
1,26,2,2,0,0,1681.4710288468905,0.0,1681.4710288468905
2,26,3,3,0,0,2433.739924071113,0.0,2433.739924071113
3,26,4,5,0,1,2845.435294666765,0.0,2845.435294666765
4,26,3,3,2,0,3089.988313060474,60.53424300817942,3089.988313060474
5,26,2,1,0,0,1277.6583484609703,0.0,1277.6583484609703
6,26,3,3,1,0,2695.7806587807354,181.47396091122766,2695.7806587807354
7,26,2,2,1,0,2098.7486609688062,170.15064549184643,2098.7486609688062
0,27,5,6,1,1,4381.8930551204085,42.229620353092635,4381.8930551204085
1,27,2,1,0,0,1161.996075728209,0.0,1161.996075728209
2,27,3,3,1,0,3025.9999795776293,103.4924641027395,3025.9999795776293
3,27,4,5,1,1,3140.5593522878858,115.1774050989803,3140.5593522878858
4,27,3,3,1,0,2587.929559735642,1.4513335798028493,2587.929559735642
5,27,2,1,0,0,1194.3250151276368,0.0,1194.3250151276368
6,27,3,2,1,0,2192.7096887308753,28.957173439798442,2192.7096887308753
7,27,2,2,1,0,2115.4153276354727,61.8173121585131,2115.4153276354727
0,28,5,7,0,2,4155.145281323578,0.0,4155.145281323578
1,28,2,1,0,0,1328.6627423948757,0.0,1328.6627423948757
2,28,3,4,1,1,3141.4278507929876,72.18764904105501,3141.4278507929876
3,28,4,5,1,1,3064.903861145112,68.34684108532227,3064.903861145112
4,28,3,3,0,0,2315.31965218489,0.0,2315.31965218489
5,28,2,1,0,0,1235.9916817943035,0.0,1235.9916817943035
6,28,3,3,1,0,2391.613992114069,127.30729424456099,2391.613992114069
7,28,2,2,1,0,2098.7486609688062,170.15064549184643,2098.7486609688062
0,29,5,5,1,0,4396.416855764703,156.62626062230711,4396.416855764703
1,29,2,1,0,0,1036.996075728209,0.0,1036.996075728209
2,29,3,4,0,1,2791.435829219411,0.0,2791.435829219411
3,29,4,4,0,0,2576.5284468692907,0.0,2576.5284468692907
4,29,3,3,0,0,2356.9863188515565,0.0,2356.9863188515565
5,29,2,1,0,0,896.3090330002331,0.0,896.3090330002331
6,29,3,3,1,0,2716.0234696592543,214.46415917637998,2716.0234696592543
7,29,2,2,1,0,2314.1616858376838,57.51576893319912,2314.1616858376838
0,30,5,7,1,2,4299.157815251508,82.38764702102905,4299.157815251508
1,30,2,1,0,0,1078.6627423948757,0.0,1078.6627423948757
2,30,3,4,0,1,2982.4213103171096,0.0,2982.4213103171096
3,30,4,5,1,1,2912.1060129759976,11.724065787092464,2912.1060129759976
4,30,3,2,0,0,1866.9209989825117,0.0,1866.9209989825117
5,30,2,2,0,0,1599.512060941061,0.0,1599.512060941061
6,30,3,2,1,0,2010.576306311235,126.91710090175381,2010.576306311235
7,30,2,2,1,0,2086.248660968806,115.98397882517975,2086.248660968806
0,31,5,5,2,0,4319.520434802558,174.51290743772884,4319.520434802558
1,31,2,1,0,0,1286.996075728209,0.0,1286.996075728209
2,31,3,3,1,0,3198.6245449545004,275.21888988292415,3198.6245449545004
3,31,4,5,0,1,3249.165267625838,0.0,3249.165267625838
4,31,3,3,1,0,2795.1967177203223,91.87816038702853,2795.1967177203223
5,31,2,1,0,0,1235.9916817943035,0.0,1235.9916817943035
6,31,3,3,1,0,2583.2806587807354,235.64062757789432,2583.2806587807354
7,31,2,1,1,0,1460.928085930286,49.969181820696974,1460.928085930286
0,32,5,7,1,2,4341.977878007909,142.0200060394881,4341.977878007909
1,32,2,1,0,0,1370.3294090615425,0.0,1370.3294090615425
2,32,3,4,1,1,2712.261184126321,18.020982374388343,2712.261184126321
3,32,4,5,0,1,2887.7763914017514,0.0,2887.7763914017514
4,32,3,3,2,0,3275.5487247314845,110.24588128610188,3275.5487247314845
5,32,2,2,0,0,1641.1787276077278,0.0,1641.1787276077278
6,32,3,3,1,0,2858.604083288471,143.82726235021366,2858.604083288471
7,32,2,1,1,0,1569.2614192636192,158.30251515403032,1569.2614192636192
0,33,5,7,1,2,4591.977878007908,142.0200060394881,4591.977878007908
1,33,2,2,0,0,1764.8043621802237,0.0,1764.8043621802237
2,33,3,4,0,1,2874.7691625527445,0.0,2874.7691625527445
3,33,4,4,1,0,2691.5936142611476,54.52768980127353,2691.5936142611476
4,33,3,3,1,0,3024.907958191993,3.096247675409826,3024.907958191993
5,33,2,1,0,0,1152.6583484609703,0.0,1152.6583484609703
6,33,3,1,0,0,1556.81142528192,0.0,1556.81142528192
7,33,2,2,1,0,2277.9153276354727,224.31731215851326,2277.9153276354727
0,34,5,7,1,2,4776.816146484454,177.90393563099553,4776.816146484454
1,34,2,1,0,0,1036.996075728209,0.0,1036.996075728209
2,34,3,3,2,0,3143.938014194867,170.87954684460883,3143.938014194867
3,34,4,5,0,1,3006.361916939966,0.0,3006.361916939966
4,34,3,3,1,0,2482.556814217011,2.472146583633705,2482.556814217011
5,34,2,2,0,0,1599.512060941061,0.0,1599.512060941061
6,34,3,3,1,0,2700.3611368934085,85.37518319560468,2700.3611368934085
7,34,2,2,0,0,2101.1497940604313,0.0,2101.1497940604313
0,35,5,7,1,2,4424.157815251508,82.38764702102905,4424.157815251508
1,35,2,1,0,0,1328.6627423948757,0.0,1328.6627423948757
2,35,3,3,1,0,2971.833312910963,49.32579743607284,2971.833312910963
3,35,4,5,0,1,3214.695250273299,0.0,3214.695250273299
4,35,3,4,1,1,3044.3861550182933,48.94399794803818,3044.3861550182933
5,35,2,1,0,0,1235.9916817943035,0.0,1235.9916817943035
6,35,3,3,0,0,2541.5317406185513,0.0,2541.5317406185513
7,35,2,2,1,0,1977.9153276354727,7.650645491846426,1977.9153276354727
0,36,5,7,1,2,4550.311211341241,142.0200060394881,4550.311211341241
1,36,2,1,0,0,1245.3294090615425,0.0,1245.3294090615425
2,36,3,4,1,1,3477.162999562627,108.43140488255011,3477.162999562627
3,36,4,5,0,1,3089.695250273299,0.0,3089.695250273299
4,36,3,3,1,0,2629.452234874491,0.776567787854876,2629.452234874491
5,36,2,1,0,0,1277.6583484609703,0.0,1277.6583484609703
6,36,3,3,1,0,2541.613992114069,235.64062757789432,2541.613992114069
7,36,2,2,1,0,2044.5819943021395,115.98397882517975,2044.5819943021395
0,37,5,5,1,0,3967.049859129642,39.786319935887576,3967.049859129642
1,37,2,1,0,0,1203.6627423948757,0.0,1203.6627423948757
2,37,3,4,0,1,3024.0879769837766,0.0,3024.0879769837766
3,37,4,5,0,1,3096.1097247350845,0.0,3096.1097247350845
4,37,3,2,0,0,2012.554487990063,0.0,2012.554487990063
5,37,2,1,0,0,1235.9916817943035,0.0,1235.9916817943035
6,37,3,2,1,0,1994.3980463305393,152.40550758772494,1994.3980463305393
7,37,2,2,1,0,2140.4153276354727,170.15064549184643,2140.4153276354727
0,38,5,6,1,1,4451.5272449140975,34.067320878170236,4451.5272449140975
1,38,2,1,0,0,1120.3294090615423,0.0,1120.3294090615423
2,38,3,4,0,1,2974.4051636617824,0.0,2974.4051636617824
3,38,4,4,0,0,2875.0149346963153,0.0,2875.0149346963153
4,38,3,2,1,0,2080.2668856010264,9.146148882065203,2080.2668856010264
5,38,2,2,0,0,1557.8453942743945,0.0,1557.8453942743945
6,38,3,3,1,0,2570.7806587807354,181.47396091122766,2570.7806587807354
7,38,2,2,1,0,1977.9153276354727,7.650645491846426,1977.9153276354727
0,39,5,4,2,0,4302.701055579495,77.89081424018887,4302.701055579495
1,39,2,1,0,0,1370.3294090615425,0.0,1370.3294090615425
2,39,3,4,1,1,2849.7611841263215,72.18764904105501,2849.7611841263215
3,39,4,5,1,1,3177.403861145112,14.180174418655598,3177.403861145112
4,39,3,3,0,0,2398.6529855182234,0.0,2398.6529855182234
5,39,2,2,0,0,1516.1787276077275,0.0,1516.1787276077275
6,39,3,3,1,0,2598.7265670604957,72.10498159854109,2598.7265670604957
7,39,2,2,1,0,2032.0819943021393,61.8173121585131,2032.0819943021393
0,40,5,7,1,2,4324.707404068502,108.15866197968663,4324.707404068502
1,40,2,2,0,0,1639.8043621802237,0.0,1639.8043621802237
2,40,3,4,1,1,2849.761184126321,72.18764904105501,2849.761184126321
3,40,4,4,1,0,2524.926947594481,54.52768980127353,2524.926947594481
4,40,3,2,1,0,2667.9628595020313,77.13702797572797,2667.9628595020313
5,40,2,1,0,0,1235.9916817943035,0.0,1235.9916817943035
6,40,3,2,0,0,1924.7115303553132,0.0,1924.7115303553132
7,40,2,2,1,0,2186.2486609688062,7.650645491846426,2186.2486609688062
0,41,5,7,1,2,4502.027931556693,103.81146545241904,4502.027931556693
1,41,2,1,0,0,1161.996075728209,0.0,1161.996075728209
2,41,3,4,1,1,2929.3683883382646,2.6335322780537354,2929.3683883382646
3,41,4,4,0,0,2618.719726718124,0.0,2618.719726718124
4,41,3,3,1,0,2649.2234808836774,2.472146583633705,2649.2234808836774
5,41,2,1,0,0,1235.9916817943035,0.0,1235.9916817943035
6,41,3,3,1,0,2591.0234696592543,214.46415917637998,2591.0234696592543
7,41,2,2,1,0,2044.5819943021395,115.98397882517975,2044.5819943021395
0,42,5,8,1,3,4806.317526748219,88.2339875448369,4806.317526748219
1,42,2,1,0,0,947.526026358051,0.0,947.526026358051
2,42,3,4,0,1,2940.754643650443,0.0,2940.754643650443
3,42,4,3,1,0,3023.978942094434,66.39473494675053,3023.978942094434
4,42,3,3,1,0,2873.1668245197748,62.923934399889006,2873.1668245197748
5,42,2,1,0,0,1110.9916817943035,0.0,1110.9916817943035
6,42,3,3,1,0,2595.1901363259212,51.96415917638015,2595.1901363259212
7,42,2,2,1,0,2115.4153276354727,61.8173121585131,2115.4153276354727
0,43,5,6,1,1,4052.110611891342,13.61664663957682,4052.110611891342
1,43,2,2,0,0,1639.8043621802237,0.0,1639.8043621802237
2,43,3,3,1,0,3157.0782716890153,33.0774729424942,3157.0782716890153
3,43,4,4,1,0,2691.593614261148,54.52768980127353,2691.593614261148
4,43,3,2,0,0,2303.642429342365,0.0,2303.642429342365
5,43,2,2,0,0,1641.1787276077275,0.0,1641.1787276077275
6,43,3,3,1,0,2629.113992114069,73.14062757789432,2629.113992114069
7,43,2,2,1,0,2240.4153276354727,61.8173121585131,2240.4153276354727
0,44,5,5,1,0,4085.1448840462103,93.95298660255425,4085.1448840462103
1,44,2,1,0,0,1328.6627423948757,0.0,1328.6627423948757
2,44,3,4,0,1,3065.7546436504435,0.0,3065.7546436504435
3,44,4,3,0,0,2453.2455990147755,0.0,2453.2455990147755
4,44,3,5,0,2,3516.208005366281,0.0,3516.208005366281
5,44,2,1,0,0,1330.6802747436373,0.0,1330.6802747436373
6,44,3,3,1,0,2641.613992114069,127.30729424456099,2641.613992114069
7,44,2,2,1,0,2140.4153276354727,170.15064549184643,2140.4153276354727
0,45,5,5,2,0,4468.112841264526,309.84806549611244,4468.112841264526
1,45,2,1,0,0,1203.6627423948757,0.0,1203.6627423948757
2,45,3,4,0,1,2857.4213103171096,0.0,2857.4213103171096
3,45,4,5,0,1,3054.4430580684184,0.0,3054.4430580684184
4,45,3,4,0,1,3074.75805292772,0.0,3074.75805292772
5,45,2,2,0,0,1516.1787276077275,0.0,1516.1787276077275
6,45,3,2,1,0,2202.633166320709,235.64062757789432,2202.633166320709
7,45,2,2,1,0,2069.5819943021397,224.31731215851326,2069.5819943021397
0,46,5,4,1,0,3690.265518552932,88.23596724887707,3690.265518552932
1,46,2,1,0,0,1036.996075728209,0.0,1036.996075728209
2,46,3,4,0,1,2940.7546436504426,0.0,2940.7546436504426
3,46,4,5,0,1,2804.443058068418,0.0,2804.443058068418
4,46,3,3,1,0,2796.1189015411574,0.776567787854876,2796.1189015411574
5,46,2,1,0,0,1194.3250151276368,0.0,1194.3250151276368
6,46,3,2,1,0,2135.576306311235,126.91710090175381,2135.576306311235
7,46,2,2,1,0,2086.248660968806,115.98397882517975,2086.248660968806
0,47,5,7,0,2,4490.918353157085,0.0,4490.918353157085
1,47,2,1,0,0,1245.3294090615425,0.0,1245.3294090615425
2,47,3,3,2,0,3177.357522475575,204.29905512531704,3177.357522475575
3,47,4,5,1,1,3037.106012975998,11.724065787092464,3037.106012975998
4,47,3,3,1,0,3184.3394634553124,42.334869252977896,3184.3394634553124
5,47,2,2,0,0,1557.8453942743945,0.0,1557.8453942743945
6,47,3,2,1,0,2192.7096887308753,28.957173439798442,2192.7096887308753
7,47,2,2,1,0,2073.748660968806,61.8173121585131,2073.748660968806
0,48,5,5,2,0,4406.855369179924,207.5250569817006,4406.855369179924
1,48,2,1,0,0,1161.996075728209,0.0,1161.996075728209
2,48,3,3,1,0,2844.9536632581367,30.632281345258207,2844.9536632581367
3,48,4,4,0,0,2576.5284468692903,0.0,2576.5284468692903
4,48,3,3,1,0,2558.7628930689752,55.61800024646952,2558.7628930689752
5,48,2,2,0,0,1599.512060941061,0.0,1599.512060941061
6,48,3,2,1,0,1956.4096396445682,72.75043423508714,1956.4096396445682
7,48,2,2,1,0,2194.5819943021397,224.31731215851326,2194.5819943021397
0,49,5,7,1,2,4210.361264890026,103.81146545241904,4210.361264890026
1,49,2,1,0,0,1078.6627423948757,0.0,1078.6627423948757
2,49,3,4,0,1,2857.4213103171096,0.0,2857.4213103171096
3,49,4,5,1,1,3049.606012975998,65.89073245375913,3049.606012975998
4,49,3,3,1,0,2399.2234808836774,2.472146583633705,2399.2234808836774
5,49,2,2,0,0,1578.0574118096724,0.0,1578.0574118096724
6,49,3,3,1,0,2428.5234696592547,51.96415917638015,2428.5234696592547
7,49,2,2,1,0,2098.7486609688062,170.15064549184643,2098.7486609688062
