region,day,total_trucks,total_routes,total_overworked,total_double_shift,total_cost,cost_overworked,total_ww_cost
0,1,5,6,1,1,5338.095389644127,3.94000344426537,5338.095389644127
1,1,2,2,2,0,2675.3385331488544,264.379629039265,2675.3385331488544
2,1,3,4,1,1,4295.562731528613,64.38228800417853,4295.562731528613
3,1,4,5,0,1,4786.267980182279,0.0,4786.267980182279
4,1,3,4,3,1,4811.214704816762,535.8124177379628,4811.214704816762
5,1,2,4,0,2,3047.768055890309,0.0,3047.768055890309
6,1,3,4,2,1,3937.6056622021147,84.40535480823713,3937.6056622021147
7,1,2,2,1,0,2398.478474236228,29.492473717215336,2398.478474236228
0,2,5,5,3,0,5582.820861503042,124.79215252676853,5582.820861503042
1,2,2,2,2,0,2515.2344468239444,104.27554271435524,2515.2344468239444
2,2,3,4,2,1,4495.866762044816,258.9916051319068,4495.866762044816
3,2,4,4,0,0,3980.5869011531727,0.0,3980.5869011531727
4,2,3,4,2,1,4838.4946002589395,402.48733329184535,4838.4946002589395
5,2,2,4,1,2,2550.941170594676,35.01540941326983,2550.941170594676
6,2,3,6,1,3,4425.191328596455,43.69849662875122,4425.191328596455
7,2,2,2,1,0,2403.4975270283658,303.0520985884659,2403.4975270283658
0,3,5,5,1,0,5616.0120511072055,59.02829856447641,5616.0120511072055
1,3,2,3,1,1,2464.1021065289488,230.9024715937129,2464.1021065289488
2,3,3,4,2,1,3970.5378496987205,202.21660619004234,3970.5378496987205
3,3,4,6,1,2,4828.508914734508,3.2482734833357654,4828.508914734508
4,3,3,4,2,1,4581.85150515194,374.9051397325004,4581.85150515194
5,3,2,3,0,1,2617.0635959061915,0.0,2617.0635959061915
6,3,3,5,1,2,3720.7756863467303,70.60650335135546,3720.7756863467303
7,3,2,2,1,0,2169.5819943021397,115.98397882517975,2169.5819943021397
0,4,5,5,2,0,5567.005993686027,102.52117780757357,5567.005993686027
1,4,2,3,1,1,3138.877883479442,130.21023733604258,3138.877883479442
2,4,3,4,2,1,4332.074150618219,112.50716666997884,4332.074150618219
3,4,4,6,1,2,4502.116968439498,29.555736100200246,4502.116968439498
4,4,3,4,3,1,4412.51193292555,138.25702630493416,4412.51193292555
5,4,2,3,0,1,2780.394375854309,0.0,2780.394375854309
6,4,3,5,2,2,4541.892094559201,254.80427125355942,4541.892094559201
7,4,2,2,1,0,2416.5806476858525,107.93522533225124,2416.5806476858525
0,5,5,5,3,0,6106.6557144080825,282.2123969938543,6106.6557144080825
1,5,2,2,0,0,2302.199743549804,0.0,2302.199743549804
2,5,3,5,3,2,5247.520638463637,258.26298615461064,5247.520638463637
3,5,4,4,0,0,4496.493409803348,0.0,4496.493409803348
4,5,3,4,2,1,4449.315392816498,385.83701563324865,4449.315392816498
5,5,2,3,0,1,2584.9505249649,0.0,2584.9505249649
6,5,3,4,1,1,4208.110929817891,409.0422350062841,4208.110929817891
7,5,2,2,2,0,2647.0344563428193,236.07555223323038,2647.0344563428193
0,6,5,6,1,1,5189.956785866399,102.43123739299709,5189.956785866399
1,6,2,2,0,0,2179.9679950552636,0.0,2179.9679950552636
2,6,3,4,3,1,4125.534984649398,299.95794918128877,4125.534984649398
3,6,4,5,0,1,4800.320871024694,0.0,4800.320871024694
4,6,3,4,3,1,4690.835353929434,163.79201787675495,4690.835353929434
5,6,2,4,0,2,3062.44086611245,0.0,3062.44086611245
6,6,3,4,1,1,4088.863020275393,281.5754798542822,4088.863020275393
7,6,2,3,1,1,3199.3657662470328,107.93522533225124,3199.3657662470328
0,7,5,5,2,0,5920.316736961858,160.83594233725773,5920.316736961858
1,7,2,2,1,0,2384.7249875161215,35.64556168126351,2384.7249875161215
2,7,3,4,0,1,3930.995819450378,0.0,3930.995819450378
3,7,4,5,0,1,4183.12335247716,0.0,4183.12335247716
4,7,3,4,2,1,4572.325437814037,337.7640157803822,4572.325437814037
5,7,2,4,0,2,2748.966016144612,0.0,2748.966016144612
6,7,3,5,1,2,4082.195582337208,177.20765395817367,4082.195582337208
7,7,2,2,1,0,2566.5806476858515,216.26855866558438,2566.5806476858515
0,8,5,5,1,0,5886.8639760925,77.35841923382813,5886.8639760925
1,8,2,3,1,1,2847.907244652747,35.64556168126351,2847.907244652747
2,8,3,4,2,1,4453.9448293199675,119.39165496566225,4453.9448293199675
3,8,4,5,0,1,4802.927872264868,0.0,4802.927872264868
4,8,3,4,2,1,4521.089082169957,406.18341376613284,4521.089082169957
5,8,2,4,1,2,2526.59125654219,18.809330897822417,2526.59125654219
6,8,3,4,2,1,4240.490598304025,298.0892676137677,4240.490598304025
7,8,2,2,1,0,2512.4139810191855,162.1018919989179,2512.4139810191855
0,9,5,5,1,0,5360.138673849911,127.5952925690379,5360.138673849911
1,9,2,3,1,1,2397.435439862282,122.56913826037942,2397.435439862282
2,9,3,4,1,1,4272.48586898138,322.3099512097017,4272.48586898138
3,9,4,5,0,1,4159.054469478598,0.0,4159.054469478598
4,9,3,4,3,1,4541.6039072894655,470.48317057050485,4541.6039072894655
5,9,2,3,0,1,2322.7549342514667,0.0,2322.7549342514667
6,9,3,4,1,1,4032.1630492630693,30.09962891481945,4032.1630492630693
7,9,2,2,1,0,2560.978474236228,191.99247371721535,2560.978474236228
0,10,5,5,0,0,5647.709875255308,0.0,5647.709875255308
1,10,2,3,1,1,2534.935439862282,176.73580492704608,2534.935439862282
2,10,3,4,1,1,4312.207228223572,0.08470449094532898,4312.207228223572
3,10,4,5,1,1,4311.112324430042,100.94465465583374,4311.112324430042
4,10,3,4,2,1,4853.858737720715,307.1909136273099,4853.858737720715
5,10,2,3,0,1,2662.4394934423804,0.0,2662.4394934423804
6,10,3,4,1,1,3782.0675646877125,16.439836684688796,3782.0675646877125
7,10,2,2,1,0,2404.080647685852,53.76855866558457,2404.080647685852
0,11,5,7,1,2,5801.665094573293,58.106670110932036,5801.665094573293
1,11,2,3,1,1,2372.4354398622822,14.235804927046086,2372.4354398622822
2,11,3,4,1,1,3581.4692194436225,87.24413960916085,3581.4692194436225
3,11,4,5,1,1,4410.697424740236,27.278888448952166,4410.697424740236
4,11,3,4,1,1,4553.532838451647,451.8758936901957,4553.532838451647
5,11,2,3,0,1,2615.446173877864,0.0,2615.446173877864
6,11,3,5,2,2,4341.51334097261,393.22370608314156,4341.51334097261
7,11,2,2,1,0,2301.661685837684,3.3491022665324532,2301.661685837684
0,12,5,6,0,1,6093.685589896611,0.0,6093.685589896611
1,12,2,2,0,0,2297.627909874797,0.0,2297.627909874797
2,12,3,4,2,1,3649.1563896018947,54.44870614206389,3649.1563896018947
3,12,4,6,0,2,5535.562684514583,0.0,5535.562684514583
4,12,3,4,3,1,5070.690977423044,707.9035740374171,5070.690977423044
5,12,2,4,1,2,2526.5912565421904,18.809330897822417,2526.5912565421904
6,12,3,4,2,1,4396.603376822794,87.74018483795543,4396.603376822794
7,12,2,2,1,0,2326.6616858376838,111.6824355998658,2326.6616858376838
0,13,5,5,1,0,5589.275596816459,102.73270953485844,5589.275596816459
1,13,2,2,2,0,2625.116579740399,214.1576756308104,2625.116579740399
2,13,3,4,2,1,4062.6098314978435,210.9552546558311,4062.6098314978435
3,13,4,4,1,0,4138.046191643495,68.34684108532227,4138.046191643495
4,13,3,4,2,1,4601.229248756593,457.70211064874,4601.229248756593
5,13,2,4,0,2,3359.5360496635712,0.0,3359.5360496635712
6,13,3,4,2,1,4129.04753917297,250.8974001954831,4129.04753917297
7,13,2,2,1,0,2265.4153276354727,170.15064549184643,2265.4153276354727
0,14,5,6,2,1,5993.904443401499,140.3263727422259,5993.904443401499
1,14,2,3,0,1,2521.104962982888,0.0,2521.104962982888
2,14,3,3,2,0,3779.848216717884,179.03547948475077,3779.848216717884
3,14,4,4,0,0,4079.812247923286,0.0,4079.812247923286
4,14,3,4,2,1,4804.591640628408,338.4203287606104,4804.591640628408
5,14,2,4,0,2,2727.9419800648907,0.0,2727.9419800648907
6,14,3,4,2,1,3906.6643772684965,363.43840011895566,3906.6643772684965
7,14,2,2,1,0,2194.5819943021397,224.31731215851326,2194.5819943021397
0,15,5,5,1,0,5923.559191947254,112.27333677759871,5923.559191947254
1,15,2,2,1,0,2505.5583208494545,198.14556168126333,2505.5583208494545
2,15,3,4,1,1,4073.959553465141,105.55045028247376,4073.959553465141
3,15,4,7,1,3,4496.733012905602,32.297839459572415,4496.733012905602
4,15,3,4,2,1,4125.704501441071,201.31038471427328,4125.704501441071
5,15,2,3,1,1,2723.2859490029996,27.492770602706287,2723.2859490029996
6,15,3,4,1,1,4229.273707536847,110.39703233888432,4229.273707536847
7,15,2,2,0,0,2308.3391854296915,0.0,2308.3391854296915
0,16,5,6,1,1,5422.788850335896,73.74716240069355,5422.788850335896
