region,day,total_trucks,total_routes,total_cost,total_ww_cost
0,1,5,5,4210.562293823597,4210.562293823597
1,1,2,1,1203.6627423948757,1203.6627423948757
2,1,3,4,3024.0879769837766,3024.0879769837766
3,1,4,4,2875.0149346963153,2875.0149346963153
4,1,3,2,2791.749755353748,2791.749755353748
5,1,2,1,1360.9916817943035,1360.9916817943035
6,1,3,3,2733.6040832884714,2733.6040832884714
7,1,2,2,2319.5819943021397,2319.5819943021397
0,2,5,7,4507.4911485848415,4507.4911485848415
1,2,2,1,1197.526026358051,1197.526026358051
2,2,3,3,2754.5513419220515,2754.5513419220515
3,2,4,5,3010.7371944784454,3010.7371944784454
4,2,3,3,3131.654979727141,3131.654979727141
5,2,2,2,1516.1787276077278,1516.1787276077278
6,2,3,3,2504.113992114069,2504.113992114069
7,2,2,2,2194.5819943021397,2194.5819943021397
0,3,5,6,4182.218433622333,4182.218433622333
1,3,2,1,1245.3294090615425,1245.3294090615425
2,3,3,3,2442.0846055997386,2442.0846055997386
3,3,4,3,2994.923756975433,2994.923756975433
4,3,3,4,3074.75805292772,3074.75805292772
5,3,2,2,1516.1787276077275,1516.1787276077275
6,3,3,2,2010.5763063112347,2010.5763063112347
7,3,2,2,2057.0819943021397,2057.0819943021397
0,4,5,5,4292.739772358324,4292.739772358324
1,4,2,1,1412.307227213795,1412.307227213795
2,4,3,4,3114.4042520477497,3114.4042520477497
3,4,4,4,2762.343634563418,2762.343634563418
4,4,3,3,2273.6529855182234,2273.6529855182234
5,4,2,2,1516.1787276077275,1516.1787276077275
6,4,3,3,2428.5234696592547,2428.5234696592547
7,4,2,2,2339.161685837684,2339.161685837684
0,5,5,6,3905.324054270809,3905.324054270809
1,5,2,1,1370.3294090615425,1370.3294090615425
2,5,3,4,2982.4213103171096,2982.4213103171096
3,5,4,5,2887.7763914017514,2887.7763914017514
4,5,3,3,2440.31965218489,2440.31965218489
5,5,2,2,1641.1787276077278,1641.1787276077278
6,5,3,2,2304.2295429437418,2304.2295429437418
7,5,2,2,2086.248660968806,2086.248660968806
0,6,5,5,4125.308740352588,4125.308740352588
1,6,2,1,1078.6627423948757,1078.6627423948757
2,6,3,2,2874.3713698045385,2874.3713698045385
3,6,4,5,3057.2260189545523,3057.2260189545523
4,6,3,3,2629.452234874491,2629.452234874491
5,6,2,1,1194.3250151276368,1194.3250151276368
