region,day,total_trucks,total_routes,total_cost,total_ww_cost
0,1,5,7,5814.014461028236,5814.014461028236
1,1,2,2,2675.3385331488544,2675.3385331488544
2,1,3,4,4295.562731528613,4295.562731528613
3,1,4,5,4786.267980182279,4786.267980182279
4,1,3,4,4811.214704816762,4811.214704816762
5,1,2,3,2741.0652104257324,2741.0652104257324
6,1,3,4,3937.6056622021147,3937.6056622021147
7,1,2,2,2398.478474236228,2398.478474236228
0,2,5,6,5936.424096757969,5936.424096757969
1,2,2,2,2515.2344468239444,2515.2344468239444
2,2,3,4,4495.866762044816,4495.866762044816
3,2,4,4,3980.5869011531727,3980.5869011531727
4,2,3,4,4838.4946002589395,4838.4946002589395
5,2,2,3,2302.2448717498596,2302.2448717498596
6,2,3,6,4425.191328596455,4425.191328596455
7,2,2,2,2403.4975270283658,2403.4975270283658
0,3,5,5,5896.438485440064,5896.438485440064
1,3,2,3,2464.1021065289488,2464.1021065289488
2,3,3,4,3970.5378496987205,3970.5378496987205
3,3,4,6,4828.508914734508,4828.508914734508
4,3,3,4,4581.85150515194,4581.85150515194
5,3,2,2,2315.923588889974,2315.923588889974
6,3,3,5,3720.7756863467303,3720.7756863467303
7,3,2,2,2169.5819943021393,2169.5819943021393
0,4,5,5,5781.661906810356,5781.661906810356
1,4,2,3,3138.877883479442,3138.877883479442
2,4,3,4,4332.0741506182185,4332.0741506182185
3,4,4,6,4502.116968439498,4502.116968439498
4,4,3,4,4412.51193292555,4412.51193292555
5,4,2,3,2696.4624984918664,2696.4624984918664
6,4,3,5,4541.892094559202,4541.892094559202
7,4,2,2,2416.5806476858525,2416.5806476858525
0,5,5,6,6467.718792994467,6467.718792994467
1,5,2,2,2302.199743549804,2302.199743549804
2,5,3,5,5247.520638463637,5247.520638463637
3,5,4,4,4496.493409803348,4496.493409803348
4,5,3,4,4449.315392816498,4449.315392816498
5,5,2,3,2275.8355527012895,2275.8355527012895
6,5,3,4,4208.110929817891,4208.110929817891
7,5,2,2,2647.0344563428193,2647.0344563428193
0,6,5,7,5707.5425239171755,5707.5425239171755
1,6,2,2,2179.9679950552636,2179.9679950552636
2,6,3,4,4125.534984649398,4125.534984649398
3,6,4,5,4800.320871024694,4800.320871024694
4,6,3,4,4690.835353929434,4690.835353929434
5,6,2,3,2714.071353981207,2714.071353981207
6,6,3,4,4088.863020275393,4088.863020275393
7,6,2,3,3199.3657662470328,3199.3657662470328
0,7,5,5,6120.183928022218,6120.183928022218
1,7,2,2,2384.7249875161215,2384.7249875161215
2,7,3,4,3930.995819450378,3930.995819450378
3,7,4,5,4183.12335247716,4183.12335247716
4,7,3,4,4572.325437814037,4572.325437814037
5,7,2,2,2452.3807987001655,2452.3807987001655
6,7,3,5,4082.1955823372086,4082.1955823372086
7,7,2,2,2566.5806476858515,2566.5806476858515
0,8,5,5,6110.337079023349,6110.337079023349
1,8,2,3,2847.907244652747,2847.907244652747
2,8,3,4,4453.9448293199675,4453.9448293199675
3,8,4,5,4802.927872264868,4802.927872264868
4,8,3,4,4521.089082169957,4521.089082169957
5,8,2,3,2302.2448717498596,2302.2448717498596
6,8,3,4,4240.490598304025,4240.490598304025
7,8,2,2,2512.4139810191855,2512.4139810191855
0,9,5,6,5714.221309236835,5714.221309236835
1,9,2,3,2397.435439862282,2397.435439862282
2,9,3,4,4272.48586898138,4272.48586898138
3,9,4,5,4159.054469478597,4159.054469478597
4,9,3,4,4541.6039072894655,4541.6039072894655
5,9,2,3,2122.577612195723,2122.577612195723
6,9,3,4,4032.1630492630693,4032.1630492630693
7,9,2,2,2560.978474236228,2560.978474236228
0,10,5,6,6101.468384920231,6101.468384920231
1,10,2,3,2534.935439862282,2534.935439862282
2,10,3,4,4312.207228223572,4312.207228223572
3,10,4,5,4311.112324430042,4311.112324430042
4,10,3,4,4853.858737720715,4853.858737720715
5,10,2,2,2357.5902555566404,2357.5902555566404
6,10,3,4,3782.0675646877125,3782.0675646877125
7,10,2,2,2404.080647685852,2404.080647685852
0,11,5,7,5923.472726250367,5923.472726250367
1,11,2,3,2372.4354398622822,2372.4354398622822
2,11,3,4,3581.4692194436225,3581.4692194436225
3,11,4,5,4410.697424740236,4410.697424740236
4,11,3,4,4553.532838451647,4553.532838451647
5,11,2,3,2616.0652104257324,2616.0652104257324
6,11,3,5,4341.51334097261,4341.51334097261
7,11,2,2,2301.661685837684,2301.661685837684
0,12,5,6,6341.693793889336,6341.693793889336
1,12,2,2,2297.627909874797,2297.627909874797
2,12,3,4,3649.1563896018947,3649.1563896018947
3,12,4,6,5535.562684514583,5535.562684514583
4,12,3,4,5070.690977423044,5070.690977423044
5,12,2,3,2294.342055748077,2294.342055748077
6,12,3,4,4396.603376822794,4396.603376822794
7,12,2,2,2326.6616858376838,2326.6616858376838
0,13,5,6,6106.861334867235,6106.861334867235
1,13,2,2,2625.116579740399,2625.116579740399
2,13,3,4,4062.6098314978435,4062.6098314978435
3,13,4,4,4138.046191643495,4138.046191643495
4,13,3,4,4601.229248756593,4601.229248756593
5,13,2,3,3002.4680762086027,3002.4680762086027
6,13,3,4,4129.047539172971,4129.047539172971
7,13,2,2,2265.4153276354727,2265.4153276354727
0,14,5,7,6386.490181452274,6386.490181452274
1,14,2,3,2521.104962982888,2521.104962982888
2,14,3,3,3779.848216717884,3779.848216717884
3,14,4,4,4079.812247923286,4079.812247923286
4,14,3,4,4804.591640628408,4804.591640628408
5,14,2,3,2427.501337082943,2427.501337082943
6,14,3,4,3906.664377268497,3906.664377268497
7,14,2,2,2194.5819943021397,2194.5819943021397
0,15,5,6,6327.859949194342,6327.859949194342
1,15,2,2,2505.5583208494545,2505.5583208494545
2,15,3,4,4073.959553465141,4073.959553465141
3,15,4,7,4496.733012905602,4496.733012905602
4,15,3,4,4125.704501441071,4125.704501441071
5,15,2,3,2491.0652104257324,2491.0652104257324
6,15,3,4,4229.273707536847,4229.273707536847
7,15,2,2,2308.3391854296915,2308.3391854296915
0,16,5,7,5857.041255053338,5857.041255053338
1,16,2,3,2493.2687731956157,2493.2687731956157
2,16,3,3,2942.9947988699323,2942.9947988699323
3,16,4,5,4271.364754893408,4271.364754893408
4,16,3,4,4349.639990134824,4349.639990134824
5,16,2,3,2179.4439680367313,2179.4439680367313
6,16,3,4,3691.782148061923,3691.782148061923
7,16,2,2,2548.3866031590555,2548.3866031590555
0,17,5,5,5938.268253888192,5938.268253888192
1,17,2,2,1814.6895750846209,1814.6895750846209
2,17,3,4,4060.886912369439,4060.886912369439
3,17,4,6,4227.664415419492,4227.664415419492
4,17,3,4,4550.630199942205,4550.630199942205
5,17,2,2,2180.625478878359,2180.625478878359
6,17,3,4,4111.556701201957,4111.556701201957
7,17,2,2,2374.9139810191855,2374.9139810191855
0,18,5,6,6413.216649955273,6413.216649955273
1,18,2,2,2291.7981987088483,2291.7981987088483
2,18,3,4,4203.765874510436,4203.765874510436
3,18,4,6,4625.060877585343,4625.060877585343
4,18,3,4,4715.242183527135,4715.242183527135
5,18,2,2,2398.214132033499,2398.214132033499
6,18,3,4,4233.517808645193,4233.517808645193
7,18,2,3,3320.1990995803662,3320.1990995803662
0,19,5,5,5850.594332371758,5850.594332371758
1,19,2,3,2943.74057798608,2943.74057798608
2,19,3,4,4519.31342347157,4519.31342347157
3,19,4,5,4840.955413308766,4840.955413308766
4,19,3,4,4443.885405568099,4443.885405568099
5,19,2,3,2596.2263539154333,2596.2263539154333
6,19,3,4,4210.936787867284,4210.936787867284
7,19,2,2,2458.2473143525185,2458.2473143525185
0,20,5,6,6637.086041016773,6637.086041016773
1,20,2,3,2414.1021065289488,2414.1021065289488
2,20,3,4,4429.066689910584,4429.066689910584
3,20,4,5,4333.147150345611,4333.147150345611
4,20,3,4,4708.584994212054,4708.584994212054
5,20,2,2,2326.5394419448075,2326.5394419448075
6,20,3,5,4234.635422601146,4234.635422601146
7,20,2,2,2494.219936492389,2494.219936492389
0,21,5,6,5836.33356323607,5836.33356323607
1,21,2,2,1983.6233607294682,1983.6233607294682
2,21,3,4,4093.771415366603,4093.771415366603
3,21,4,6,5019.868814978533,5019.868814978533
4,21,3,4,4532.325658382242,4532.325658382242
5,21,2,2,2214.126659253092,2214.126659253092
6,21,3,4,4500.129859140879,4500.129859140879
7,21,2,2,2194.5819943021397,2194.5819943021397
0,22,5,8,6041.774611145494,6041.774611145494
1,22,2,2,2282.837526710375,2282.837526710375
2,22,3,3,3768.4648908360487,3768.4648908360487
3,22,4,4,4247.929747878695,4247.929747878695
4,22,3,3,4018.7701410449927,4018.7701410449927
5,22,2,2,2290.80776608671,2290.80776608671
6,22,3,3,4004.6919134268555,4004.6919134268555
7,22,2,2,2337.122619929879,2337.122619929879
0,23,5,6,6390.903915709375,6390.903915709375
1,23,2,2,2570.9499130737327,2570.9499130737327
2,23,3,4,4649.275508863874,4649.275508863874
3,23,4,6,4442.322644463416,4442.322644463416
4,23,3,4,4502.776937637095,4502.776937637095
5,23,2,2,2268.2933259197584,2268.2933259197584
6,23,3,4,4305.414306007869,4305.414306007869
7,23,2,2,2560.978474236228,2560.978474236228
0,24,5,6,5862.447615510746,5862.447615510746
1,24,2,3,2451.6021065289488,2451.6021065289488
2,24,3,4,4039.1525356480465,4039.1525356480465
3,24,4,5,4904.511892789187,4904.511892789187
4,24,3,4,4422.526986544351,4422.526986544351
5,24,2,3,2612.8752201925545,2612.8752201925545
6,24,3,4,4180.972584035017,4180.972584035017
7,24,2,2,2602.553269825722,2602.553269825722
0,25,5,6,5472.410180085134,5472.410180085134
1,25,2,2,2339.5100925186307,2339.5100925186307
2,25,3,4,4141.59762847115,4141.59762847115
3,25,4,4,4460.38826235824,4460.38826235824
4,25,3,5,4532.148718303351,4532.148718303351
5,25,2,3,2755.08765043365,2755.08765043365
6,25,3,5,4155.680465540761,4155.680465540761
7,25,2,2,2656.719936492389,2656.719936492389
0,26,5,6,5883.602725192067,5883.602725192067
1,26,2,2,2400.131532042182,2400.131532042182
2,26,3,4,4549.068451644862,4549.068451644862
3,26,4,5,5138.640454909548,5138.640454909548
4,26,3,5,4649.047604946131,4649.047604946131
5,26,2,3,2571.208553525888,2571.208553525888
6,26,3,5,4581.366951750367,4581.366951750367
7,26,2,2,2361.2486609688062,2361.2486609688062
0,27,5,6,6445.874613810034,6445.874613810034
1,27,2,3,2881.776334709146,2881.776334709146
2,27,3,4,3452.800039210077,3452.800039210077
3,27,4,4,4529.74106629523,4529.74106629523
4,27,3,5,5163.3345899815795,5163.3345899815795
5,27,2,2,2339.126659253092,2339.126659253092
6,27,3,4,4023.5661807086044,4023.5661807086044
7,27,2,2,2416.5806476858525,2416.5806476858525
0,28,5,6,6760.2811844763655,6760.2811844763655
1,28,2,3,2959.711216812775,2959.711216812775
2,28,3,3,3513.0968553132134,3513.0968553132134
3,28,4,6,4308.917233597223,4308.917233597223
4,28,3,4,4575.570804690231,4575.570804690231
5,28,2,2,2393.293325919759,2393.293325919759
6,28,3,3,4009.633433869086,4009.633433869086
7,28,2,2,2432.0819943021397,2432.0819943021397
0,29,5,7,5343.196173561021,5343.196173561021
1,29,2,3,2509.9354398622822,2509.9354398622822
2,29,3,4,4441.473469373806,4441.473469373806
3,29,4,4,4208.7518728550085,4208.7518728550085
4,29,3,4,5311.569679627697,5311.569679627697
5,29,2,3,2179.4439680367313,2179.4439680367313
6,29,3,4,3766.9797198348792,3766.9797198348792
7,29,2,2,2494.3118075695616,2494.3118075695616
0,30,5,5,5994.82304904507,5994.82304904507
1,30,2,3,3060.9430013758124,3060.9430013758124
2,30,3,4,3587.6556709049823,3587.6556709049823
3,30,4,5,4605.811107888734,4605.811107888734
4,30,3,4,4668.553311214572,4668.553311214572
5,30,2,3,2707.076498243282,2707.076498243282
6,30,3,5,4178.762163072383,4178.762163072383
7,30,2,2,2348.748660968806,2348.748660968806
0,31,5,5,5859.470291490379,5859.470291490379
1,31,2,2,2348.2730023310423,2348.2730023310423
2,31,3,4,4082.350102483854,4082.350102483854
3,31,4,5,4807.988870978818,4807.988870978818
4,31,3,3,3950.2651358340186,3950.2651358340186
5,31,2,3,2613.1291651585334,2613.1291651585334
6,31,3,4,4646.611634503161,4646.611634503161
7,31,2,2,2515.9975270283658,2515.9975270283658
0,32,5,7,6066.569012637533,6066.569012637533
