region,day,Woolworths routes,Outsourced routes
0,1,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",
0,1,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths Auckland City', 'FreshChoice Epsom', 'Distribution Centre Auckland']",
0,1,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Greenlane', 'Distribution Centre Auckland']",
0,1,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Pt Chevalier', 'Woolworths St Lukes', 'Distribution Centre Auckland']",
0,1,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Distribution Centre Auckland']",
0,1,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",
0,1,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",
1,1,"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'FreshChoice Papakura', 'Woolworths Takanini', 'Distribution Centre Auckland']",
1,1,"['Distribution Centre Auckland', 'Woolworths Papakura', 'Woolworths Roselands', 'Distribution Centre Auckland']",
2,1,"['Distribution Centre Auckland', 'Woolworths Howick', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']",
2,1,"['Distribution Centre Auckland', 'Woolworths Highland Park', 'Woolworths St Johns', 'Distribution Centre Auckland']",
2,1,"['Distribution Centre Auckland', 'Woolworths Botany Downs', 'Woolworths Pakuranga', 'Distribution Centre Auckland']",
2,1,"['Distribution Centre Auckland', 'Woolworths Meadowlands', 'Woolworths Meadowbank', 'Distribution Centre Auckland']",
3,1,"['Distribution Centre Auckland', 'FreshChoice Otahuhu', 'Woolworths Papatoetoe', 'Woolworths Manukau Mall', 'Distribution Centre Auckland']",
3,1,"['Distribution Centre Auckland', 'FreshChoice Flat Bush', 'Woolworths Manukau', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']",
3,1,"['Distribution Centre Auckland', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']",
